train_loss,
1,5.0163
2,3.481
3,3.0058
4,2.7821
5,2.6543
6,2.5694
7,2.5147
8,2.4741
9,2.4404
10,2.4136
11,2.3903
12,2.3758
13,2.3585
14,2.3478
15,2.3381
16,2.3269
17,2.3177
18,2.3098
19,2.3009
20,2.2956
21,2.2901
22,2.2831
23,2.2805
24,2.2776
25,2.273
26,2.2695
27,2.2663
28,2.2625
29,2.2616
30,2.2539
31,1.7186
32,1.5953
33,1.5462
34,1.5171
35,1.4972
36,1.4829
37,1.4716
38,1.4648
39,1.4635
40,1.4603
41,1.46
42,1.4582
43,1.4604
44,1.4569
45,1.4606
46,1.4588
47,1.4567
48,1.456
49,1.4544
50,1.4508
51,1.4523
52,1.4477
53,1.449
54,1.4458
55,1.4424
56,1.4386
57,1.4379
58,1.4351
59,1.4316
60,1.4308
61,1.2301
62,1.177
63,1.155
64,1.1412
65,1.1297
66,1.1183
67,1.1136
68,1.1057
69,1.0986
70,1.0927
71,1.0882
72,1.0829
73,1.0763
74,1.0734
75,1.0706
76,1.0646
77,1.0617
78,1.0584
79,1.0549
80,1.0506
81,1.049
82,1.044
83,1.042
84,1.0389
85,1.0363
86,1.0345
87,1.0311
88,1.0266
89,1.0252
90,1.0261
Test acc:,
1,21.16
2,32.75
3,39.8
4,41.38
5,44.96
6,45.38
7,47.3
8,49.22
9,49.29
10,49.44
11,50.22
12,49.4
13,49.86
14,50.2
15,50.9
16,50.46
17,50.54
18,50.64
19,51.52
20,51.08
21,50.64
22,51.28
23,51.53
24,50.7
25,51.1
26,51.81
27,52.95
28,51.28
29,49.36
30,53.04
31,65.89
32,67.07
33,67.62
34,67.87
35,67.76
36,68.02
37,68.01
38,68.08
39,67.98
40,67.65
41,68.27
42,68.32
43,67.76
44,67.53
45,67.15
46,67.64
47,67.34
48,68.18
49,67.88
50,66.83
51,66.57
52,66.77
53,67.43
54,67.78
55,67.46
56,67.99
57,68.02
58,66.36
59,67.74
60,67.37
61,72.11
62,72.47
63,72.69
64,72.73
65,72.87
66,73.08
67,72.96
68,73.1
69,73.18
70,73.12
71,73.12
72,73.29
73,73.29
74,73.35
75,73.29
76,73.17
77,73.3
78,73.5
79,73.46
80,73.41
81,73.47
82,73.34
83,73.24
84,73.33
85,73.42
86,73.34
87,73.22
88,73.25
89,73.34
90,73.22
