Test Acc:,,,,,,,,,,,,,,,,
1,54.124,49.322,31.148,48.442,47.954,38.176,48.706,40.552,54.88,40.31,53.112,34.73,36.168,19.268,39.964,36.89
2,57.572,52.908,38.952,52.534,49.662,40.7,49.84,44.398,56.022,43.672,54.374,39.62,38.408,24.794,42.78,39.016
3,59.6,56.106,42.212,55.054,50.616,43.446,52.246,45.724,56.444,45.278,54.344,41.196,41.118,27.66,43.548,41.058
4,60.46,56.542,45.42,56.496,51.076,45.046,52.658,46.862,57.162,46.144,55.474,42.182,41.512,22.444,44.356,42.176
5,61.672,57.978,44.104,57.796,52.164,45.09,52.828,47.67,57.266,46.206,56.01,43.216,42.308,28.656,45.202,43.692
6,62.884,58.512,48.176,59.382,52.324,46.09,53.794,47.99,57.622,48.136,56.094,44.462,43.578,30.474,45.948,44.316
7,63.166,59.972,47.812,59.64,52.822,46.88,53.692,48.524,57.882,48.74,56.694,44.174,44.116,30.58,46.724,44.932
8,63.878,59.626,49.81,59.964,52.802,47.516,53.788,49.734,58.154,49.308,57.286,45.674,44.474,31.124,46.456,45.76
9,63.752,60.572,49.962,60.45,53.706,47.82,54.44,49.88,58.398,48.906,57.414,46.218,44.544,32.616,47.674,45.694
10,64.282,61.67,51.282,60.95,53.874,48.256,54.578,50.118,58.994,48.416,57.39,46.468,44.748,33.072,47.376,46.544
11,65.038,62.18,52.27,61.848,54.478,49.066,54.474,51.078,59.306,50.55,57.704,46.668,45.586,33.644,48.176,47.084
12,65.252,62.154,52.602,62.358,54.444,48.784,55.04,50.378,58.542,49.906,58.17,47.088,45.84,33.802,48.226,47.686
13,65.268,62.226,52.412,62.638,54.57,49.738,54.914,51.362,59.288,51.114,58.138,47.162,45.996,34.292,48.73,47.75
14,65.496,62.42,53.52,62.938,54.796,49.604,55.606,51.914,59.458,51.272,58.228,47.036,46.568,34.21,48.94,47.366
15,65.432,62.48,52.444,62.612,55.018,50.142,55.69,52.32,59.468,50.808,58.52,46.464,46.732,34.358,49.06,47.866
16,66.4,63.594,54.436,63.642,55.016,48.962,56.078,51.098,59.628,51.442,58.314,47.494,46.614,34.276,48.758,48.274
17,66.534,63.59,54.576,63.724,55.26,50.292,55.962,52.218,59.778,51.62,58.266,47.944,47.048,35.244,49.332,48.616
18,66.786,63.972,54.956,64.064,55.6,49.836,55.718,52.522,59.706,52.256,58.584,48.392,47.056,35.518,49.732,48.906
19,66.654,63.41,55.012,63.928,55.54,50.484,56.31,52.422,60.134,52.458,58.8,48.668,47.048,35.158,50.062,49.534
20,67.106,64.214,55.506,64.296,55.574,50.502,55.846,52.514,59.282,52.428,58.82,49.27,47.854,36.02,49.926,49.174
21,67.104,64.558,55.104,64.594,55.608,50.734,56.324,53.072,60.404,52.342,58.948,49.156,47.64,36.352,50.596,48.81
22,67.25,64.614,55.152,64.754,55.514,51.304,56.716,53.048,60.438,52.676,59.15,49.478,48.144,35.996,50.174,49.658
23,67.576,64.816,55.92,64.904,56.164,51.684,56.58,52.964,60.516,52.972,59.296,49.524,48.052,36.176,50.692,49.942
24,67.968,64.62,55.512,64.952,55.808,51.73,57.232,53.55,60.382,53.562,59.578,49.774,48.354,36.678,50.808,49.648
25,67.852,64.802,56.6,65.052,56.23,52,57.192,53.496,60.282,53.156,59.698,50.198,48.298,37.062,50.48,49.93
26,68.114,65.356,56.854,65.138,56.8,52.076,57.184,53.78,61.064,53.516,59.66,49.416,49.106,36.564,51.094,50.042
27,67.954,65.566,56.75,65.548,56.57,51.704,57.568,53.996,60.698,53.43,59.964,50.38,48.766,36.858,51.174,50.528
28,67.682,65.604,57.53,65.176,56.556,52.1,57.294,54.324,60.946,53.756,59.792,50.692,49.264,37.356,50.592,49.88
