train_loss:,,,,,,,,,,,,
1,0.0017,0.0018,0.002,0.0021,0.0055,0.0057,0.0058,0.0051,0.0062,0.0052,0.006,0.0046
2,0.0017,0.0018,0.002,0.0021,0.0047,0.0044,0.0051,0.0042,0.0046,0.0041,0.0044,0.0038
3,0.0017,0.0018,0.002,0.0021,0.0043,0.0037,0.004,0.0038,0.0043,0.0036,0.004,0.0034
4,0.0017,0.0018,0.002,0.0021,0.004,0.0035,0.0038,0.0033,0.0039,0.0036,0.0038,0.0033
5,0.0017,0.0018,0.002,0.0021,0.0036,0.0032,0.0037,0.0033,0.0036,0.0032,0.0035,0.0029
6,0.0017,0.0018,0.002,0.0021,0.0035,0.003,0.0037,0.0031,0.0034,0.0032,0.0034,0.0028
7,0.0017,0.0018,0.002,0.0021,0.0034,0.003,0.0032,0.003,0.0034,0.003,0.0032,0.0027
8,0.0017,0.0018,0.002,0.0021,0.0034,0.0029,0.0032,0.0029,0.0033,0.0029,0.0032,0.0026
9,0.0017,0.0018,0.002,0.002,0.0032,0.0029,0.0032,0.0028,0.0032,0.0028,0.0031,0.0027
10,0.0017,0.0018,0.002,0.002,0.0032,0.003,0.0032,0.0028,0.0031,0.0029,0.003,0.0025
11,0.0017,0.0018,0.002,0.002,0.0031,0.0027,0.003,0.0027,0.003,0.0028,0.003,0.0026
12,0.0017,0.0018,0.002,0.0021,0.0031,0.0027,0.003,0.0027,0.003,0.0027,0.0029,0.0024
13,0.0017,0.0018,0.002,0.002,0.0031,0.0027,0.0031,0.0027,0.0029,0.0026,0.0028,0.0024
14,0.0017,0.0018,0.002,0.002,0.003,0.0027,0.0031,0.0026,0.0029,0.0026,0.0029,0.0023
15,0.0017,0.0018,0.002,0.002,0.0031,0.0027,0.0028,0.0026,0.003,0.0025,0.0028,0.0024
16,0.0017,0.0018,0.002,0.002,0.003,0.0026,0.0031,0.0026,0.0028,0.0025,0.0028,0.0023
17,0.0017,0.0018,0.002,0.002,0.0029,0.0027,0.0028,0.0027,0.0029,0.0025,0.0028,0.0023
18,0.0017,0.0018,0.002,0.002,0.0029,0.0025,0.0028,0.0025,0.0029,0.0025,0.0027,0.0023
19,0.0017,0.0018,0.002,0.002,0.0029,0.0026,0.0028,0.0025,0.0027,0.0025,0.0028,0.0023
20,0.0017,0.0018,0.002,0.002,0.0029,0.0026,0.0028,0.0025,0.0027,0.0025,0.0028,0.0022
21,0.0017,0.0018,0.002,0.002,0.0028,0.0025,0.0028,0.0025,0.0028,0.0025,0.0027,0.0023
22,0.0017,0.0018,0.002,0.002,0.0029,0.0025,0.0028,0.0026,0.0027,0.0024,0.0027,0.0022
23,0.0017,0.0018,0.002,0.002,0.0028,0.0026,0.0028,0.0025,0.0029,0.0024,0.0028,0.0022
24,0.0017,0.0018,0.002,0.002,0.0028,0.0025,0.0029,0.0025,0.0027,0.0025,0.0028,0.0022
25,0.0017,0.0018,0.002,0.002,0.0029,0.0024,0.0028,0.0024,0.0027,0.0024,0.0026,0.0022
26,0.0017,0.0018,0.002,0.002,0.0028,0.0024,0.0029,0.0025,0.0028,0.0024,0.0028,0.0022
27,0.0017,0.0017,0.002,0.002,0.0028,0.0025,0.0027,0.0024,0.0027,0.0025,0.0027,0.0021
28,0.0017,0.0017,0.002,0.002,0.0027,0.0025,0.0028,0.0024,0.0027,0.0025,0.0027,0.0022
29,0.0017,0.0017,0.002,0.002,0.0028,0.0026,0.0027,0.0024,0.0027,0.0023,0.0026,0.0022
30,0.0017,0.0017,0.002,0.002,0.0028,0.0024,0.0027,0.0024,0.0027,0.0023,0.0027,0.0021
31,0.0017,0.0017,0.002,0.002,0.0023,0.0019,0.0022,0.0019,0.0022,0.0019,0.0021,0.0017
32,0.0017,0.0017,0.002,0.002,0.0022,0.0019,0.0021,0.0019,0.0022,0.0018,0.002,0.0016
33,0.0017,0.0017,0.002,0.002,0.0022,0.0019,0.0021,0.0019,0.0021,0.0018,0.002,0.0016
34,0.0017,0.0017,0.002,0.002,0.0022,0.0019,0.0021,0.0018,0.0021,0.0018,0.002,0.0016
35,0.0017,0.0017,0.002,0.002,0.0022,0.0019,0.0021,0.0018,0.0021,0.0018,0.002,0.0016
36,0.0017,0.0017,0.002,0.002,0.0022,0.0019,0.0021,0.0018,0.0021,0.0018,0.002,0.0016
37,0.0017,0.0017,0.002,0.002,0.0021,0.0018,0.0021,0.0018,0.0021,0.0018,0.002,0.0016
