Test Acc:,,,,,,,,,,,,,,,,
1,18.24,13.07,9.3,10.26,8.74,12.15,8.93,13.02,11.19,14.55,7.75,8.78,3.75,9.44,8.78,12.81
2,29.19,25.14,17.09,19.87,14.84,20.18,17.09,23.69,17.09,24.23,12.7,16.25,10.65,16.96,15.49,24.08
3,33.87,30.05,22.68,26.26,21.18,27.37,21.28,30.17,22.88,28.99,19.57,20.5,13.24,21.86,20.69,29.68
4,38.34,35.12,26.26,29.1,23.93,30.51,25.24,32.94,25.71,32.66,22.59,23.35,15.96,24.84,23.55,32.26
5,40.65,36.24,28.39,29.85,24.57,31.37,27.24,34.03,27.39,34.66,24.79,24.91,17.55,25.71,25.6,33.93
6,42.3,39.12,29.85,32.74,27.98,33.91,29.23,37.66,29.57,36.3,26.69,26.68,18.86,29.14,27.97,37.48
7,43.75,39.63,31.64,34.33,29.19,34.73,31.51,38.55,32.13,37.84,28.11,28.22,19.98,29.79,28.57,38.23
8,43.03,40.67,32.48,35.64,29.84,36.22,32.04,39.88,33.29,38.78,29.48,29.42,21.23,29.58,29.37,39.8
9,46.26,41.97,33.1,35.85,31.38,37.31,32.85,40.9,33.76,39.69,29.94,29.79,21.64,31.67,29.94,40.83
10,46.17,42.59,34.76,37.22,31.8,38.4,34.12,42.52,34.56,41.36,31.39,30.4,22.62,31.9,30.87,42.18
11,47.46,43.63,34.71,38.11,32.87,39.14,34.48,42.49,34.87,41.32,31.45,31.07,23,33.49,32.05,42.14
12,48.06,44.08,35.58,38.69,33.04,39.72,35.38,43.13,34.99,42.17,32.33,31.98,23.16,34.01,32.29,42.9
13,48.07,44.41,36.52,38.54,34.44,40.19,36.27,43.76,36.25,42.39,33.04,32.13,23.77,33.99,33.19,42.59
14,49.23,44.76,37.07,39.6,34.75,40.73,36.2,44.02,36.85,43.25,33.05,32.77,23.65,34.81,33.3,44.02
15,49.68,45.58,37.2,39.58,35.08,40.82,37.19,44.42,36.77,43.61,33.4,33.16,24.63,35.06,33.58,44.51
16,50.01,45.75,37.78,39.95,35.16,41.2,37.04,44.7,37.62,43.82,33.68,33.34,24.39,35.78,33.72,44.4
17,50.59,45.9,38.19,40.52,34.81,41.96,37.29,45.44,38.01,44.1,34.31,33.72,24.58,35.87,33.76,44.67
18,51.03,46.96,38.28,40.94,35.93,41.73,37.51,45.68,38.31,44.81,34.84,34.26,25.23,36.32,34.95,45.31
19,50.63,46.98,38.73,41.3,36.56,42.48,38.47,46.02,38.45,44.88,35.35,34.42,25.39,36.86,34.75,45.3
20,51.56,47.1,38.56,41.41,36.25,42.7,38.37,46.39,38.77,45.52,35.37,34.62,25.82,36.97,35.33,45.86
21,51.81,47.6,39.23,41.8,36.62,42.65,38.43,46.19,38.87,45.94,35.53,34.86,26.09,37.53,35.64,46.59
22,51.88,47.77,39.38,42.36,36.95,43.55,39.07,47.03,39.29,45.96,36.08,35.23,26.31,37.47,35.94,46.6
23,51.91,47.68,39.63,42.21,37.2,43.23,39.21,47.11,39.59,45.59,35.78,35.52,26.35,37.41,36.06,46.62
24,51.96,47.76,39.46,42.58,37.42,43.47,39.46,47.36,39.57,46.35,35.93,35.49,26.55,37.85,36.13,47.35
25,52.11,48.26,40.25,42.6,37.8,43.85,39.39,47.3,39.76,46.44,35.89,35.61,25.94,38.04,36.73,47.27
26,52.36,48.45,40.18,43.15,37.57,43.99,39.94,47.69,40.03,46.77,36.57,35.99,26.79,38.35,36.9,47.12
27,52.48,48.61,40.61,43.08,38.07,44.21,40.28,47.7,40.53,46.86,36.92,36.04,26.97,37.71,36.56,47.37
28,52.95,48.8,40.75,43.26,38.1,44.32,40.03,48.2,40.43,46.91,36.9,36.21,26.95,38.25,36.7,47.74
29,53.01,48.98,40.54,43.18,38.33,44.4,40.38,48.38,40.71,47.42,37.23,36.41,27.45,38.66,37.35,48.22
